card_id,customer_id,issuance_date,issued_amount,currency,status
GC-500001,CUST-00457,2022-02-21,69.34,GBP,ACTIVE
GC-500002,CUST-02234,2022-06-28,90.32,EUR,ACTIVE
GC-500003,CUST-02070,2022-02-24,48.58,EUR,ACTIVE
GC-500004,CUST-01719,2023-03-28,139.17,USD,ACTIVE
GC-500005,CUST-01732,2023-11-28,46.08,USD,ACTIVE
GC-500006,CUST-00380,2024-02-18,73.86,USD,ACTIVE
GC-500007,CUST-00178,2024-07-29,24.93,EUR,ACTIVE
GC-500008,CUST-01482,2023-01-29,22.61,GBP,ACTIVE
GC-500009,CUST-00327,2023-04-22,92.78,USD,ACTIVE
GC-500010,CUST-01495,2022-11-30,69.07,USD,ACTIVE
GC-500011,CUST-00900,2023-10-27,49.11,USD,ACTIVE
GC-500012,CUST-01097,2022-05-16,148.15,USD,ACTIVE
GC-500013,CUST-01755,2024-03-28,49.99,USD,ACTIVE
GC-500014,CUST-00373,2022-04-07,48.14,USD,ACTIVE
GC-500015,CUST-00261,2024-02-28,149.94,USD,ACTIVE
GC-500016,CUST-00648,2024-07-18,197.52,USD,ACTIVE
GC-500017,CUST-02080,2023-02-12,73.22,USD,ACTIVE
GC-500018,CUST-02324,2022-06-11,189.72,USD,ACTIVE
GC-500019,CUST-02182,2022-09-15,189.51,USD,ACTIVE
GC-500020,CUST-01277,2024-03-28,187.47,GBP,VOIDED
GC-500021,CUST-01850,2022-09-05,45.32,USD,ACTIVE
GC-500022,CUST-00943,2023-03-28,24.27,USD,ACTIVE
GC-500023,CUST-00129,2023-11-08,138.57,USD,ACTIVE
GC-500024,CUST-00878,2022-09-28,143.64,GBP,ACTIVE
GC-500025,CUST-01668,2023-01-25,24.15,USD,ACTIVE
GC-500026,CUST-00448,2023-05-25,47.68,USD,ACTIVE
GC-500027,CUST-01141,2024-08-05,23.61,USD,ACTIVE
GC-500028,CUST-00402,2022-04-14,147.54,GBP,ACTIVE
GC-500029,CUST-01643,2022-05-01,90.02,USD,ACTIVE
GC-500030,CUST-00892,2022-04-30,190.84,EUR,ACTIVE
GC-500031,CUST-00206,2024-09-03,137.36,EUR,ACTIVE
GC-500032,CUST-00964,2024-04-06,138.69,USD,ACTIVE
GC-500033,CUST-00336,2024-05-08,143.48,GBP,ACTIVE
GC-500034,CUST-00537,2023-09-07,74.47,USD,ACTIVE
GC-500035,CUST-02307,2022-07-24,138.2,USD,ACTIVE
GC-500036,CUST-02167,2022-01-17,139.49,GBP,ACTIVE
GC-500037,CUST-00551,2023-06-26,24.36,USD,ACTIVE
GC-500038,CUST-00863,2023-12-04,192.68,USD,ACTIVE
GC-500039,CUST-00015,2023-11-15,199.6,USD,ACTIVE
GC-500040,CUST-02260,2024-05-25,22.78,EUR,ACTIVE
GC-500041,CUST-01513,2022-10-31,45.21,USD,ACTIVE
GC-500042,CUST-02294,2024-04-12,183.09,EUR,ACTIVE
GC-500043,CUST-00726,2024-04-24,48.68,USD,ACTIVE
GC-500044,CUST-00818,2024-07-31,73.65,USD,ACTIVE
GC-500045,CUST-00097,2023-01-31,69.59,USD,ACTIVE
GC-500046,CUST-01144,2023-12-21,141.0,GBP,ACTIVE
GC-500047,CUST-00114,2022-08-25,47.9,USD,ACTIVE
GC-500048,CUST-01780,2023-12-09,70.77,GBP,ACTIVE
GC-500049,CUST-02362,2023-01-25,24.27,USD,ACTIVE
GC-500050,CUST-02206,2023-02-08,90.7,USD,ACTIVE
GC-500051,CUST-01353,2023-10-05,24.3,GBP,ACTIVE
GC-500052,CUST-00713,2023-09-09,147.51,USD,ACTIVE
GC-500053,CUST-01810,2024-06-24,47.56,GBP,ACTIVE
GC-500054,CUST-00348,2023-08-05,192.66,EUR,ACTIVE
GC-500055,CUST-01003,2024-08-31,23.64,EUR,VOIDED
GC-500056,CUST-02358,2023-02-03,187.68,GBP,ACTIVE
GC-500057,CUST-00721,2024-11-26,23.89,USD,VOIDED
GC-500058,CUST-00498,2024-07-23,96.68,USD,ACTIVE
GC-500059,CUST-01813,2024-10-30,141.69,USD,ACTIVE
GC-500060,CUST-01945,2024-07-10,49.2,USD,ACTIVE
GC-500061,CUST-01802,2022-06-08,69.26,GBP,ACTIVE
GC-500062,CUST-02223,2024-08-12,23.02,USD,ACTIVE
GC-500063,CUST-01559,2024-09-03,69.74,USD,ACTIVE
GC-500064,CUST-02237,2023-03-28,46.36,USD,ACTIVE
GC-500065,CUST-02188,2022-02-25,143.47,USD,ACTIVE
GC-500066,CUST-01756,2022-10-05,45.25,USD,ACTIVE
GC-500067,CUST-01034,2022-06-17,24.37,USD,ACTIVE
