redemption_id,card_id,redemption_date,redemption_amount
GC-500001-R1,GC-500001,2022-02-21,69.34
GC-500002-R1,GC-500002,2022-07-28,90.32
GC-500003-R1,GC-500003,2022-03-10,48.58
GC-500004-R1,GC-500004,2025-01-08,73.57
GC-500005-R1,GC-500005,2024-07-15,37.14
GC-500005-R2,GC-500005,2024-07-23,-8.51
GC-500006-R1,GC-500006,2023-09-26,189.19
GC-500007-R1,GC-500007,2023-09-24,31.69
GC-500007-R2,GC-500007,2023-11-24,116.59
GC-500008-R1,GC-500008,2022-08-13,7.29
GC-500008-R2,GC-500008,2022-10-13,6.48
GC-500008-R3,GC-500008,2022-11-13,9.68
GC-500011-R1,GC-500011,2022-09-16,47.21
GC-500011-R2,GC-500011,2023-01-16,24.51
GC-500011-R3,GC-500011,2023-03-16,20.94
GC-500011-R4,GC-500011,2023-08-16,55.49
GC-500013-R1,GC-500013,2023-03-30,142.4
GC-500014-R1,GC-500014,2023-03-24,34.42
GC-500014-R2,GC-500014,2023-08-24,28.2
GC-500014-R3,GC-500014,2023-09-24,13.47
GC-500014-R4,GC-500014,2023-10-24,19.87
GC-500015-R1,GC-500015,2023-08-01,33.22
GC-500015-R2,GC-500015,2023-11-01,17.26
GC-500015-R3,GC-500015,2024-01-01,17.86
GC-500016-R1,GC-500016,2022-10-06,23.04
GC-500016-R2,GC-500016,2022-12-06,50.77
GC-500017-R1,GC-500017,2025-02-22,139.86
GC-500018-R1,GC-500018,2023-05-06,39.15
GC-500018-R2,GC-500018,2023-05-21,-8.64
GC-500020-R1,GC-500020,2025-01-16,118.83
GC-500021-R1,GC-500021,2024-02-04,141.77
GC-500022-R1,GC-500022,2022-02-13,138.45
GC-500023-R1,GC-500023,2023-05-14,24.65
GC-500024-R1,GC-500024,2025-01-21,100.06
GC-500024-R2,GC-500024,2025-01-26,-43.56
GC-500025-R1,GC-500025,2023-05-25,11.09
GC-500025-R2,GC-500025,2023-06-25,5.25
GC-500025-R3,GC-500025,2023-07-25,7.81
GC-500026-R1,GC-500026,2024-05-04,73.5
GC-500027-R1,GC-500027,2024-11-07,40.63
GC-500028-R1,GC-500028,2022-06-14,51.62
GC-500029-R1,GC-500029,2024-09-12,99.02
GC-500030-R1,GC-500030,2023-10-28,54.04
GC-500030-R2,GC-500030,2023-11-06,-13.32
GC-500031-R1,GC-500031,2023-05-22,146.04
GC-500032-R1,GC-500032,2023-06-13,95.03
